"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"2000"	"2000"	"New England"	"CENS-D1"	"40-44 years"	"40-44"	2650	1173248	225.9
	"2000"	"2000"	"New England"	"CENS-D1"	"45-49 years"	"45-49"	3853	1046610	368.1
	"2000"	"2000"	"New England"	"CENS-D1"	"50-54 years"	"50-54"	5892	935819	629.6
	"2000"	"2000"	"New England"	"CENS-D1"	"55-59 years"	"55-59"	7044	705472	998.5
	"2000"	"2000"	"New England"	"CENS-D1"	"60-64 years "	"60-64"	7951	535795	1484.0
	"2000"	"2000"	"New England"	"CENS-D1"	"65-69 years"	"65-69"	9684	481168	2012.6
	"2000"	"2000"	"New England"	"CENS-D1"	"70-74 years"	"70-74"	11349	465280	2439.2
	"2000"	"2000"	"New England"	"CENS-D1"	"75-79 years"	"75-79"	10813	405453	2666.9
	"2000"	"2000"	"New England"	"CENS-D1"	"80-84 years"	"80-84"	7434	287224	2588.2
	"2000"	"2000"	"New England"	"CENS-D1"	"85+ years"	"85+"	6022	254743	2364.0
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"< 1 year"	"1"	140	501077	27.9
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"1-4 years"	"1-4"	463	2025762	22.9
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"5-9 years"	"5-9"	358	2768602	12.9
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"10-14 years"	"10-14"	337	2797035	12.0
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"15-19 years"	"15-19"	580	2667016	21.7
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"20-24 years"	"20-24"	846	2485626	34.0
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"25-29 years"	"25-29"	1459	2566563	56.8
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"30-34 years"	"30-34"	2535	2921986	86.8
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"35-39 years"	"35-39"	4389	3233178	135.7
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"40-44 years"	"40-44"	7318	3218061	227.4
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"45-49 years"	"45-49"	10719	2874466	372.9
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"50-54 years"	"50-54"	15869	2580229	615.0
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"55-59 years"	"55-59"	19367	1986675	974.8
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"60-64 years "	"60-64"	22780	1604298	1419.9
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"65-69 years"	"65-69"	27606	1427581	1933.8
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"70-74 years"	"70-74"	32216	1386647	2323.3
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"75-79 years"	"75-79"	29868	1178516	2534.4
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"80-84 years"	"80-84"	21132	804559	2626.5
	"2000"	"2000"	"Middle Atlantic"	"CENS-D2"	"85+ years"	"85+"	16843	688697	2445.6
	"2000"	"2000"	"East North Central"	"CENS-D3"	"< 1 year"	"1"	139	611132	22.7
	"2000"	"2000"	"East North Central"	"CENS-D3"	"1-4 years"	"1-4"	487	2454318	19.8
	"2000"	"2000"	"East North Central"	"CENS-D3"	"5-9 years"	"5-9"	356	3296831	10.8
	"2000"	"2000"	"East North Central"	"CENS-D3"	"10-14 years"	"10-14"	415	3339233	12.4
	"2000"	"2000"	"East North Central"	"CENS-D3"	"15-19 years"	"15-19"	696	3303001	21.1
	"2000"	"2000"	"East North Central"	"CENS-D3"	"20-24 years"	"20-24"	988	3026273	32.6
	"2000"	"2000"	"East North Central"	"CENS-D3"	"25-29 years"	"25-29"	1665	3002270	55.5
	"2000"	"2000"	"East North Central"	"CENS-D3"	"30-34 years"	"30-34"	2690	3203575	84.0
	"2000"	"2000"	"East North Central"	"CENS-D3"	"35-39 years"	"35-39"	4610	3565953	129.3
	"2000"	"2000"	"East North Central"	"CENS-D3"	"40-44 years"	"40-44"	7599	3648591	208.3
	"2000"	"2000"	"East North Central"	"CENS-D3"	"45-49 years"	"45-49"	11714	3295437	355.5
	"2000"	"2000"	"East North Central"	"CENS-D3"	"50-54 years"	"50-54"	16660	2859452	582.6
	"2000"	"2000"	"East North Central"	"CENS-D3"	"55-59 years"	"55-59"	20154	2177369	925.6
	"2000"	"2000"	"East North Central"	"CENS-D3"	"60-64 years "	"60-64"	24088	1744065	1381.1
	"2000"	"2000"	"East North Central"	"CENS-D3"	"65-69 years"	"65-69"	28768	1510857	1904.1
